OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;NOTES
780;Ireland;Péarla Offshore Windfarm;;1000;Planned;;51821,38941; 
781;Ireland;Réalt na Mara;;1600;Planned;;11667,73528; 
782;Ireland;Rian Offshore Array Phase 1;;2500;Planned;;48923,54729; 
783;Ireland;Rian Offshore Array Phase 2;;;Planned;;51419,34088; 
784;Ireland;Sea Stacks;;800;Planned;;11416,60365; 
785;Ireland;Setanta;;1000;Planned;;19567,17986; 
786;Ireland;Shelmalere;;1000;Planned;;17654,75513; 
787;Ireland;SmartBay;;;Planned;;1424,280186; 
788;Ireland;SSE Renewables Celtic Sea;;800;Planned;;16514,85217; 
789;Ireland;Sunrise Wind (IE);;1330;Planned;;17107,54645; 
790;Ireland;Tralee;;2500;Planned;;2140,106879; 
791;Ireland;Tulca Offshore Array Phase 1;;1650;Planned;;18193,85327; 
792;Ireland;Tulca Offshore Array Phase 2;;2240;Planned;;19099,28738; 
793;Ireland;Urban Sea;;4000;Planned;;16354,16555; 
794;Ireland;Valentia Phase 1;;920;Planned;;19409,60345; 
795;Ireland;Valentia Phase 2;;620;Planned;;23496,50135; 
796;Ireland;Voyage Offshore Array;;2900;Planned;;67873,23568; 
797;Ireland;West Ireland;;2000;Planned;;52006,76065; 
798;Ireland;Western Star Floating Wind;;1350;Planned;;21255,37708; 
799;Ireland;Wexford;;2500;Planned;;60765,5433; 
800;Ireland;Wicklow;;500;Planned;;22755,11903; 
801;Italy;Abruzzo 1;;1760;Planned;;15738,35665; 
802;Italy;Agnes 1;;120;Planned;;33442,38329; 
803;Italy;Agnes 2;;400;Planned;;35486,6891; 
804;Italy;APENESTE Offshore;;915;Planned;;32573,84807; 
805;Italy;Bari;;600;Planned;;80280,02152; 
806;Italy;Barium Bay;;1100;Planned;;19715,01549; 
807;Italy;Barletta Offshore;;840;Planned;;29216,69684; 
808;Italy;Bluwind Brindisi;;840;Planned;;25755,40727; 
809;Italy;Bluwind Civitavecchia;;870;Planned;;27196,12495; 
810;Italy;Bluwind Pozzallo;;975;Planned;;32491,29526; 
811;Italy;BNW;;504;Planned;;35702,26082; 
812;Italy;Brenda Energia;;741;Planned;;22821,14139; 
813;Italy;BRN;;504;Planned;;25025,64988; 
814;Italy;Calabria;37;555;Planned;;25216,5215; 
815;Italy;Calypso;;600;Planned;;28887,34114; 
