OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
951;Finland; ;;;Planned;;5823,6378;59,7627315; ;0,567615391;0,011180349
952;Finland; ;;;Planned;;14713,49352;89,30908592; ;0,792656159;0,016693194
953;Finland; ;;;Planned;;5863,261538;65,78531311; ;0,429229161;0,011294474
954;Finland; ;;;Planned;;9742,209227;113,8634685; ;0,559415524;0,021565205
955;Finland; ;;;Planned;;16561,92617;109,266767; ;0,738077322;0,020692112
956;Finland; ;;;Planned;;27667,04512;203,6183132; ;0,86858441;0,038647829
957;Finland; ;;;Planned;;20982,20509;145,2527012; ;0,623663935;0,024730394
958;Finland; ;;;Planned;;7477,242066;98,13125046; ;0,526424911;0,016636895
959;Finland; ;;;Planned;;13737,1137;85,43797289; ;0,485908075;0,01426861
960;Finland; ;;;Planned;;12662,97858;259,7238505; ;1,656594177;0,047118352
961;Finland; ;;;Planned;;3738,986125;685,3176116; ;1,730145323;0,120007911
962;Finland; ;;;Planned;;71326,98434;528,2211434; ;1,140665397;0,089260736
963;Finland; ;;;Planned;;6332,813153;381,5630933; ;1,248418739;0,073520545
964;Finland; ;;;Planned;;17381,28448;122,4073976; ;0,672907005;0,019446755
965;Finland; ;;;Planned;;41757,94182;114,7653107; ;0,548269784;0,01809706
966;Finland; ;;;Planned;;5823,6378;59,7627315; ;0,567615391;0,011180349
967;Finland; ;;;Planned;;14713,49352;89,30908592; ;0,792656159;0,016693194
968;Finland; ;;;Planned;;5863,261538;65,78531311; ;0,429229161;0,011294474
969;Finland; ;;;Planned;;9742,209227;113,8634685; ;0,559415524;0,021565205
970;Finland; ;;;Planned;;16561,92617;109,266767; ;0,738077322;0,020692112
971;Finland; ;;;Planned;;27667,04512;203,6183132; ;0,86858441;0,038647829
972;Finland; ;;;Planned;;20982,20509;145,2527012; ;0,623663935;0,024730394
973;Finland; ;;;Planned;;7477,242066;98,13125046; ;0,526424911;0,016636895
974;Finland; ;;;Planned;;13737,1137;85,43797289; ;0,485908075;0,01426861
